TABELA CBENEF X CST PARA OS BENEFÍCIOS FISCAIS VIGENTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES100059,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Saída de produtos que divulguem atividades da Fundação Pró-Tamar e do Programa Nacional de Proteção às Tartarugas Marinhas.,"Art. 5º, LVIII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 55/92
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100060,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Saída de materiais e equipamentos destinados à Itaipu Binacional.,"Art. 5º, LIX do RICMS/ES
Convênio ICMS 10/75
Convênio ICMS 36/90",Isenção do ICMS,,,,,,,,,,,,,,,
ES100061,SIM,,,,SIM,SIM,,,,,,,2010-11-26 00:00:00,,Operações com artigos e aparelhos ortopédicos e para fraturas e outros que especifica.,"Art. 5º, LX do RICMS/ES
Convênio ICMS 126/10",Isenção do ICMS,,,,,,,,,,,,,,,
ES100062,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operação interna de fornecimento de energia elétrica e serviços de telecomunicação, destinada a consumo por órgãos da administração pública estadual direta e suas fundações e autarquias.","Art. 5º, LXI do RICMS/ES
Convênio ICMS 107/95",Isenção do ICMS,,,,,,,,,,,,,,,
ES100063,SIM,,,,SIM,SIM,,,,,,,2010-01-21 00:00:00,,Operações realizadas pela Empresa Brasileira de Pesquisa Agropecuária – EMBRAPA.,"Art. 5º, LXII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 64/95",Isenção do ICMS,,,,,,,,,,,,,,,
ES100064,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operação de importação pela companhia estadual de saneamento, de produtos importados do exterior, destinados à implantação de projeto de saneamento básico.","Art. 5º, LXIII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 42/95
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100065,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Saída interestadual e o respectivo retorno de equipamentos de propriedade da EMBRATEL.,"Art. 5º, LXIV do RICMS/ES
Convênio ICMS 105/95",Isenção do ICMS,,,,,,,,,,,,,,,
ES100066,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operação de importação com mercadorias ou bens, provenientes do exterior, na forma que especifica.","Art. 5º, LXV do RICMS/ES
Convênio ICMS 18/95",Isenção do ICMS,,,,,,,,,,,,,,,
ES100067,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída, a título de distribuição gratuita, de amostra de produto.","Art. 5º, LXVI do RICMS/ES
Convênio ICMS 29/90",Isenção do ICMS,,,,,,,,,,,,,,,
ES100068,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Operação de venda do bem arrendado ao arrendatário.,"Art. 5º, LXVII do RICMS/ES
Convênio ICMS 04/97",Isenção do ICMS,,,,,,,,,,,,,,,
ES100069,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Operação de importação e saída de mercadorias  em decorrência de aquisições efetuadas pelo executor do Projeto Gasoduto Brasil-Bolívia.,"Art. 5º, LXIX do RICMS/ES
Convênio ICMS 68/97",Isenção do ICMS,,,,,,,,,,,,,,,
ES100070,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Operação de importação e internas com mercadorias destinadas à aplicação no sistema de informática da Secretaria de Estado da Fazenda (SEFAZ).,"Art. 5º, LXXII do RICMS/ES
Convênio ICMS 61/97",Isenção do ICMS,,,,,,,,,,,,,,,
ES100071,SIM,,,,SIM,SIM,,,,,,,2012-04-05 00:00:00,,"Saídas de produtos constantes da lista anexa ao Convênio ICM 07/89, de origem nacional, para comercialização ou industrialização nas Áreas de Livre Comércio. ","Art. 5º, LXXIII do RICMS/ES
Convênio ICMS 65/88
Convênio ICMS 25/08",Isenção do ICMS,,,,,,,,,,,,,,,
ES100072,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operação de transferência interestadual,  realizada pelas empresas prestadoras de serviços de transporte aéreo.","Art. 5º, LXXIV do RICMS/ES
Convênio ICMS 18/97",Isenção do ICMS,,,,,,,,,,,,,,,
ES100073,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Saídas internas e interestaduais de automóveis destinados a motoristas profissionais (taxistas).,"Art. 5º, LXXVI do RICMS/ES
Anexo III, item 15 da Lei 7.000/01
Convênio ICMS 38/01
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100074,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Saída de produtos com destino a empresa nacional exportadora de serviços.,"Art. 5º, LXXVII do RICMS/ES
Convênio ICMS 04/79
Convênio ICMS 47/90
Convênio ICMS 124/93",Isenção do ICMS,,,,,,,,,,,,,,,
ES100075,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Operação interna com material de uso e consumo de um para outro estabelecimento da mesma empresa.,"Art. 5º, LXXVIII do RICMS/ES
Convênio ICMS 70/90
Convênio ICMS 151/94",Isenção do ICMS,,,,,,,,,,,,,,,
ES100076,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operações destinadas a missões diplomáticas, repartições consulares e representações de organismos internacionais e respectivos funcionários estrangeiros.","Art. 5º, LXXIX do RICMS/ES
Convênio ICMS 158/94
Convênio ICMS 90/97",Isenção do ICMS,,,,,,,,,,,,,,,
ES100077,SIM,,,,SIM,SIM,,,,,,,2021-12-27 00:00:00,2028-12-31 00:00:00,Operações com equipamentos e componentes para o aproveitamento das energias solar e eólica que especifica.,"Art. 5º, LXXX do RICMS/ES
Convênio ICMS 101/97
Convênio ICMS 156/17",Isenção do ICMS,,,,,,,,,,,,,,,
ES100078,SIM,,,,SIM,SIM,,,,,,,2005-03-10 00:00:00,,"Saída de embarcações construídas no País, e fornecimento de peças, partes e componentes, utilizados no reparo, no conserto e na reconstrução.","Art. 5º, LXXXI do RICMS/ES
Convênio ICMS 33/77
Convênio ICMS 44/90
Convênio ICMS 102/96",Isenção do ICMS,,,,,,,,,,,,,,,
ES100079,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operação interna com veículos automotores adquiridos pela APAE, e prestação de serviços de transporte desses veículos.","Art. 5º, LXXXIII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 91/98
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100080,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Operações com preservativos.,"Art. 5º, LXXXIV do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 116/98
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100081,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Operação de importação de máquinas de limpar e selecionar frutas.,"Art. 5º, LXXXVI do RICMS/ES
Convênio ICMS 93/91",Isenção do ICMS,,,,,,,,,,,,,,,
ES100082,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Saída de microcomputadores usados, semi-novos, doados para escolas públicas especiais, associações e comunidades carentes.","Art. 5º, LXXXVII do RICMS/ES
Convênio ICMS 43/99",Isenção do ICMS,,,,,,,,,,,,,,,
ES100083,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operações que envolvam aquisições para a construção das Usinas Hidrelétricas de São João e Bicame, pertencentes a Castelo Energética S.A.","Art. 5º, LXXXVIII do RICMS/ES
Convênio ICMS 62/00",Isenção do ICMS,,,,,,,,,,,,,,,
ES100084,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operações com produtos e equipamentos utilizados em diagnóstico de imuno-hematologia, sorologia e coagulação, destinados à Administração Pública.","Art. 5º, XC do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 84/97
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100085,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,"Operações internas com lâmpadas fluorescentes compactas, a título de doação, para as unidades consumidoras residenciais de baixa renda.","Art. 5º, XCII do RICMS/ES
Convênio ICMS 29/01",Isenção do ICMS,,,,,,,,,,,,,,,
ES100086,SIM,,,,SIM,SIM,,,,,,,2002-10-25 00:00:00,,Operações de devolução obrigatória de embalagens vazias de agrotóxicos.,"Art. 5º, XCIV do RICMS/ES
Convênio ICMS 42/01",Isenção do ICMS,,,,,,,,,,,,,,,
ES100087,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Operações com os medicamentos relacionados.,"Art. 5º, XCVII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 140/01
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100088,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Saída de mercadorias, em decorrência das doações, nas operações internas e interestaduais destinadas ao atendimento do Programa de Segurança Alimentar e Nutricional.","Art. 5º, XCIX do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 18/03
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100089,SIM,,,,SIM,SIM,,,,,,,2003-09-09 00:00:00,,"Operações ou prestações internas, relativas a aquisição de bens, mercadorias ou serviços por órgãos da administração pública estadual direta e suas fundações e autarquias.","Art. 5º, C do RICMS/ES
Convênio ICMS 26/03",Isenção do ICMS,,,,,,,,,,,,,,,
ES100090,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operações e prestações internas, referentes às saídas de mercadorias desincorporadas do ativo imobilizado do estabelecimento, em decorrência de doação a órgãos e entidades da Administração Pública.","Art. 5º, CI do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 02/04
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100091,SIM,,,,SIM,SIM,,,,,,,2004-03-01 00:00:00,,Operação de aquisição de veículos pelo Departamento de Polícia Rodoviária Federal – DPRF.,"Art. 5º, CII do RICMS/ES
Convênio ICMS 122/03",Isenção do ICMS,,,,,,,,,,,,,,,
ES100092,SIM,,,,SIM,SIM,,,,,,,2004-03-01 00:00:00,,"Operação interna de fornecimento de alimentação, destinada a consumo por órgãos da Administração Pública Estadual e Autarquias.","Art. 5º, CIII do RICMS/ES
Convênio ICMS 131/03",Isenção do ICMS,,,,,,,,,,,,,,,
ES100093,SIM,,,,SIM,SIM,,,,,,,2004-03-01 00:00:00,,Operação de fornecimento de água natural canalizada.,"Art. 5º, CIV do RICMS/ES
Convênio ICMS 132/03",Isenção do ICMS,,,,,,,,,,,,,,,
ES100094,SIM,,,,SIM,SIM,,,,,,,2005-05-24 00:00:00,,Saídas de pilhas e baterias usadas.,"Art. 5º, CVII do RICMS/ES
Convênio ICMS 27/05",Isenção do ICMS,,,,,,,,,,,,,,,
ES100095,SIM,,,,SIM,SIM,,,,,,,2012-03-01 00:00:00,,"Operação de importação, realizada pela FAHUCAM, de matérias-primas destinadas à produção de kit Rapid Check HIV 1&2 e de Kit Diagnóstico Rapid Check Sifilis.","Art. 5º, CVIII do RICMS/ES
Convênio ICMS 42/05
Convênio ICMS 133/11",Isenção do ICMS,,,,,,,,,,,,,,,
ES100096,SIM,,,,SIM,SIM,,,,,,,2005-05-24 00:00:00,,"Operação de importação, por empresa portuária, de guindastes móveis, portuários, a diesel, hidráulicos, sobre pneus, para movimentação de containers e granéis sólidos em navios.","Art. 5º, CIX do RICMS/ES
Convênio ICMS 48/05",Isenção do ICMS,,,,,,,,,,,,,,,
ES100097,SIM,,,,SIM,SIM,,,,,,,2005-05-30 00:00:00,,"Saídas, nas operações internas, de produtos vegetais destinados à produção de biodiesel.","Art. 5º, CX do RICMS/ES
Convênio ICMS 105/03
Convênio ICMS 11/05",Isenção do ICMS,,,,,,,,,,,,,,,
ES100098,SIM,,,,SIM,SIM,,,,,,,2005-05-30 00:00:00,,Operação de importação de tratores agrícolas de quatro rodas e de colheitadeiras mecânicas de algodão.,"Art. 5º, CXI do RICMS/ES
Convênio ICMS 77/93
Convênio ICMS 24/05",Isenção do ICMS,,,,,,,,,,,,,,,
ES100099,SIM,,,,SIM,SIM,,,,,,,2008-08-08 00:00:00,,"Saídas de produtos farmacêuticos e de fraldas geriátricas da Fundação Oswaldo Cruz – Fiocruz, destinadas às farmácias que façam parte do Programa Farmácia Popular do Brasil.","Art. 5º, CXII do RICMS/ES
Convênio ICMS 81/08",Isenção do ICMS,,,,,,,,,,,,,,,
ES100100,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operações com mercadorias e prestações de serviços de transporte a elas relativas, destinadas a programas de fortalecimento e modernização das áreas fiscal, de gestão, de planejamento e de controle externo.","Art. 5º, CXIII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 79/05
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100101,SIM,,,,SIM,SIM,,,,,,,2005-09-02 00:00:00,,"Saídas de selos destinados ao controle fiscal federal, promovidas pela Casa da Moeda do Brasil.","Art. 5º, CXIV do RICMS/ES
Convênio ICMS 80/05",Isenção do ICMS,,,,,,,,,,,,,,,
ES100102,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Operação de importação de bens destinados à modernização de Zonas Portuárias do Estado.,"Art. 5º, CXV do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 28/05
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100103,SIM,,,,SIM,SIM,,,,,,,2008-05-01 00:00:00,,Operação de importação de mercadoria ou bem importado sob o Regime Especial de Admissão Temporária.,"Art. 5º, CXVI do RICMS/ES
Convênio ICMS 58/99",Isenção do ICMS,,,,,,,,,,,,,,,
ES130004,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Operação interna de bens destinados a integrar o ativo imobilizado de empresas beneficiadas pelo Regime Tributário para Incentivo à Modernização e à Ampliação da Estrutura Portuária – Reporto.,"Art. 5º, CXVII do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 03/06
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100104,SIM,,,,SIM,SIM,,,,,,,2010-05-01 00:00:00,,"Saídas de medidores de vazão, condutivímetros e de aparelhos para o controle, registro e gravação dos quantitativos medidos.","Art. 5º, CXIX do RICMS/ES
Convênio ICMS 69/06",Isenção do ICMS,,,,,,,,,,,,,,,
ES100105,SIM,,,,SIM,SIM,,,,,,,2006-08-17 00:00:00,,"Saídas internas com veículos automotores, máquinas e equipamentos, para utilização exclusiva do Corpo de Bombeiros Militar do Estado do Espírito Santo.","Art. 5º, CXX do RICMS/ES
Convênio ICMS 38/06",Isenção do ICMS,,,,,,,,,,,,,,,
ES100106,SIM,,,,SIM,SIM,,,,,,,2011-10-19 00:00:00,,"Saídas internas de refrigeradores e lâmpadas de até 100 W, decorrentes de doações efetuadas pela ESCELSA a pessoas físicas consideradas de baixa renda, no âmbito do Projeto Redução de Perdas de Energia Elétrica.","Art. 5º, CXXII do RICMS/ES
Convênio ICMS 49/06",Isenção do ICMS,,,,,,,,,,,,,,,
ES100107,SIM,,,,SIM,SIM,,,,,,,2014-12-30 00:00:00,,Operação de importação de medicamentos destinados ao tratamento do câncer.,"Art. 5º, CXXIII do RICMS/ES
Convênio ICMS 114/14",Isenção do ICMS,,,,,,,,,,,,,,,
ES100108,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operações internas e interestaduais e de importação de medicamentos e reagentes químicos, para o desenvolvimento de novos medicamentos.","Art. 5º, CXXIV do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 09/07
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100109,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Operação de importação de máquinas e equipamentos por empresa concessionária da prestação de serviços públicos de radiodifusão sonora e de sons e imagens de recepção livre e gratuita.,"Art. 5º, CXXV do RICMS/ES
Anexo III, item 17 da Lei 7.000/01
Convênio ICMS 10/07
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100110,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,Saída de reagente para diagnóstico da doença de Chagas.,"Art. 5º, CXXVI do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 23/07
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100111,SIM,,,,SIM,SIM,,,,,,,2008-03-25 00:00:00,,Remessa da peça defeituosa para o fabricante até trinta dias após o prazo de vencimento da garantia.,"Art. 5º, CXXXV do RICMS/ES
Convênio ICMS 27/07",Isenção do ICMS,,,,,,,,,,,,,,,
ES100112,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Fornecimento de alimentação e bebida não alcoólica, realizado por restaurantes populares integrantes de programas específicos.","Art. 5º, CXXX do RICMS/ES
Anexo III, item 7 da Lei 7.000/01
Convênio ICMS 89/07
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100113,SIM,,,,SIM,SIM,,,,,,,2008-01-01 00:00:00,,Prestação de serviço de comunicação referente ao acesso a internet e ao de conectividade em banda larga no âmbito do Programa Governo Eletrônico de Serviço de Atendimento do Cidadão – GESAC.,"Art. 5º, CXXXII do RICMS/ES
Convênio ICMS 141/07",Isenção do ICMS,,,,,,,,,,,,,,,
ES100114,SIM,,,,SIM,SIM,,,,,,,2008-01-01 00:00:00,,Saída de óleo comestível usado destinado à utilização como insumo industrial.,"Art. 5º, CXXXIV do RICMS/ES
Convênio ICMS 144/07",Isenção do ICMS,,,,,,,,,,,,,,,
ES100115,SIM,,,,SIM,SIM,,,,,,,2008-05-01 00:00:00,,Prestação de serviço de comunicação referente ao acesso à internet e à conectividade em banda larga e doação de equipamentos destinados a escolas públicas.,"Art. 5º, CXXXVI do RICMS/ES
Convênio ICMS 47/08",Isenção do ICMS,,,,,,,,,,,,,,,
ES100116,SIM,,,,SIM,SIM,,,,,,,2022-03-23 00:00:00,2026-04-30 00:00:00,"Saída interna e interestadual de veículo automotor novo, quando adquirido por pessoas com deficiência física, visual, mental severa ou profunda, síndrome de Down ou autistas.","Art. 5º, CXXXVII do RICMS/ES
Anexo III, item 18 da Lei 7.000/01
Convênio ICMS 38/12
Convênio ICMS 204/21",Isenção do ICMS,,,,,,,,,,,,,,,
ES100117,SIM,,,,SIM,SIM,,,,,,,2008-08-08 00:00:00,,"Operações e prestações realizadas ou contratadas no mercado interno ou externo, no âmbito do Tratado Binacional Brasil-Ucrânia, pela Alcântara Cyclone Space – ACS.","Art. 5º, CXL do RICMS/ES
Convênio ICMS 84/08",Isenção do ICMS,,,,,,,,,,,,,,,
ES100118,SIM,,,,SIM,SIM,,,,,,,2010-08-20 00:00:00,,Operações internas e interestaduais com maçã e pêra.,"Art. 5º, CXLI do RICMS/ES
Convênio ICMS 94/05
Convênio ICMS 79/10",Isenção do ICMS,,,,,,,,,,,,,,,
ES100119,SIM,,,,SIM,SIM,,,,,,,2022-03-07 00:00:00,2026-04-30 00:00:00,"Operação de importação de bens ou mercadorias destinadas às atividades de pesquisa, exploração ou produção de petróleo e gás natural.","Art. 5º, CXLII do RICMS/ES
Convênio ICMS 130/07
Convênio ICMS 226/23",Isenção do ICMS,,,,,,,,,,,,,,,
ES100120,SIM,,,,SIM,SIM,,,,,,,2008-11-17 00:00:00,,Aquisição de tratores de até 75 CV por pequenos agricultores.,"Art. 5º, CXLIII do RICMS/ES
Convênio ICMS 103/08",Isenção do ICMS,,,,,,,,,,,,,,,
ES100121,SIM,,,,SIM,SIM,,,,,,,2009-05-07 00:00:00,,"Operação de importação de inseticidas, pulverizadores e outros produtos, destinados ao combate à dengue, malária e febre amarela.","Art. 5º, CXLIV do RICMS/ES
Convênio ICMS 28/09",Isenção do ICMS,,,,,,,,,,,,,,,
ES100122,SIM,,,,SIM,SIM,,,,,,,2010-01-21 00:00:00,,Saída dos produtos resultantes das aulas práticas dos cursos profissionalizantes ministrados pelo Serviço Nacional de Aprendizagem Comercial – Senac.,"Art. 5º, CXLVI do RICMS/ES
Convênio ICMS 11/93
Convênio ICMS 108/09",Isenção do ICMS,,,,,,,,,,,,,,,
ES100123,SIM,,,,SIM,SIM,,,,,,,2010-01-21 00:00:00,,"Prestações de serviço de transporte ferroviário intermunicipal de passageiros, com finalidade turística, histórica e cultural.","Art. 5º, CXLVII do RICMS/ES
Convênio ICMS 115/09",Isenção do ICMS,,,,,,,,,,,,,,,
